,name,ID,YouthMapper,institution
152,o_seni,-1,True,federal university of technology - akure
153,nubs_s,-1,True,federal university of technology - akure
154,sir_muel,-1,True,federal university of technology - akure
155,platinum emirate,-1,True,federal university of technology - akure
156,pheonix star,-1,True,federal university of technology - akure
157,oluwafisayo,-1,True,federal university of technology - akure
158,odesola oluwagbotemi,-1,True,federal university of technology - akure
159,fakola oluwasegun,-1,True,federal university of technology - akure
160,binbush,-1,True,federal university of technology - akure
161,adnan kayode,-1,True,federal university of technology - akure
162,haywhy,-1,True,federal university of technology - akure
163,manjurul islam,-1,True,federal university of technology - akure
164,idowuseyi,-1,True,federal university of technology - akure
165,tommy g d charles,-1,True,fourah bay college - university of sierra leon
166,sia kamanda,-1,True,fourah bay college - university of sierra leon
167,tigidanke fofana,-1,True,fourah bay college - university of sierra leon
168,sarah turay,-1,True,fourah bay college - university of sierra leon
169,evron rashid,-1,True,fourah bay college - university of sierra leon
170,farah kamara,-1,True,fourah bay college - university of sierra leon
171,gibril lansana,-1,True,fourah bay college - university of sierra leon
172,domingo joe,-1,True,fourah bay college - university of sierra leon
173,abdul juldeh jalloh,-1,True,fourah bay college - university of sierra leon
174,meek stephen,-1,True,fourah bay college - university of sierra leon
175,idriss cole,-1,True,fourah bay college - university of sierra leon
176,josiah borbor,-1,True,fourah bay college - university of sierra leon
177,foday conteh,-1,True,fourah bay college - university of sierra leon
178,grace kainessie,-1,True,fourah bay college - university of sierra leon
179,mohamed kamara,-1,True,fourah bay college - university of sierra leon
180,afiz,-1,True,fourah bay college - university of sierra leon
181,abdul nouman,-1,True,fourah bay college - university of sierra leon
182,marilyn hannah godwin,-1,True,fourah bay college - university of sierra leon
183,farma jacob,-1,True,fourah bay college - university of sierra leon
184,unisa sesay,-1,True,fourah bay college - university of sierra leon
185,mohamed taily bah,-1,True,fourah bay college - university of sierra leon
186,abdulai kargbo,-1,True,fourah bay college - university of sierra leon
187,kadiatubangura,-1,True,fourah bay college - university of sierra leon
188,patricia nixon,-1,True,fourah bay college - university of sierra leon
189,francess pabai,-1,True,fourah bay college - university of sierra leon
190,olive h. lisk,-1,True,fourah bay college - university of sierra leon
191,m barrie,-1,True,fourah bay college - university of sierra leon
192,fatmata,-1,True,fourah bay college - university of sierra leon
193,g. conteh,-1,True,fourah bay college - university of sierra leon
194,nyakeh abdulai,-1,True,fourah bay college - university of sierra leon
195,sidia rogers,-1,True,fourah bay college - university of sierra leon
196,julius morie momoh,-1,True,fourah bay college - university of sierra leon
197,cagri,6313,False,unknown
198,abigail kargbo,-1,True,fourah bay college - university of sierra leon
199,cordia,-1,True,george mason university
200,thecryptarch,-1,True,george mason university
201,dannyutt,-1,True,george mason university
202,dlowman,-1,True,george mason university
203,sulaiman_mozes,-1,True,gulu university
204,oyet geoffrey gerrard,-1,True,gulu university
205,odokonyero,-1,True,gulu university
206,obalim douglas,-1,True,gulu university
207,idha,-1,True,gulu university
208,racel lumonya,-1,True,gulu university
209,imenyabayo reverien,-1,True,insititue d' enseignement superieur de ruhengeri
210,bryan gatera,-1,True,insititue d' enseignement superieur de ruhengeri
211,nicaise irambona,-1,True,insititue d' enseignement superieur de ruhengeri
212,coco7,-1,True,insititue d' enseignement superieur de ruhengeri
213,uwishema-valentin,-1,True,insititue d' enseignement superieur de ruhengeri
214,yvette_ntakirutimana,-1,True,insititue d' enseignement superieur de ruhengeri
215,albertine_allia,-1,True,insititue d' enseignement superieur de ruhengeri
216,sumitbikramrana,-1,True,institute of crisis management studies
217,albanarayamajhi,-1,True,institute of crisis management studies
218,akritiashikari,-1,True,institute of crisis management studies
219,akshyanchagiri,-1,True,institute of crisis management studies
220,saritabista,-1,True,institute of crisis management studies
221,subashthapa,-1,True,institute of crisis management studies
222,kbrana,-1,True,institute of crisis management studies
223,laxmikhatri,-1,True,institute of crisis management studies
224,kaxmikarki,-1,True,institute of crisis management studies
225,neelimarai,-1,True,institute of crisis management studies
226,nelmonilama,-1,True,institute of crisis management studies
227,kristydavis,-1,True,institute of crisis management studies
228,nicksneller,-1,True,institute of crisis management studies
229,irdpyouthmapper25,-1,True,institute of rural development planning - dodoma
230,irdpyouthmapper10,-1,True,institute of rural development planning - dodoma
231,irdpyouthmapper1,-1,True,institute of rural development planning - dodoma
232,irdpyouthmapper2,-1,True,institute of rural development planning - dodoma
233,irdpyouthmapper3,-1,True,institute of rural development planning - dodoma
234,irdpyouthmapper4,-1,True,institute of rural development planning - dodoma
235,irdpyouthmapper5,-1,True,institute of rural development planning - dodoma
236,irdpyouthmapper6,-1,True,institute of rural development planning - dodoma
237,irdpyouthmapper7,-1,True,institute of rural development planning - dodoma
238,irdpyouthmapper8,-1,True,institute of rural development planning - dodoma
239,irdpyouthmapper9,-1,True,institute of rural development planning - dodoma
240,irdpyouthmapper11,-1,True,institute of rural development planning - dodoma
241,irdpyouthmapper12,-1,True,institute of rural development planning - dodoma
242,irdpyouthmapper13,-1,True,institute of rural development planning - dodoma
243,irdpyouthmapper14,-1,True,institute of rural development planning - dodoma
244,irdpyouthmapper20,-1,True,institute of rural development planning - dodoma
245,aisha karim irdp,-1,True,institute of rural development planning
246,angero irdp,-1,True,institute of rural development planning
247,baraka kasanga,-1,True,institute of rural development planning
248,daud irdp,-1,True,institute of rural development planning
249,samadd,-1,True,institute of rural development planning
250,ezekiellesiyo,-1,True,institute of rural development planning
251,frank irdp,-1,True,institute of rural development planning
252,jailos pharles,-1,True,institute of rural development planning
253,hokelai,-1,True,institute of rural development planning
254,joshua irdp,-1,True,institute of rural development planning
255,magabiro kasara,-1,True,institute of rural development planning
256,maganya irdp-lzc,-1,True,institute of rural development planning
257,merian paulo irdp,-1,True,institute of rural development planning
258,mbaraka,-1,True,institute of rural development planning
259,mfaume irdp,-1,True,institute of rural development planning
260,mipango irdp,-1,True,institute of rural development planning
261,naomi hope irdp,-1,True,institute of rural development planning
262,praygod irdp,-1,True,institute of rural development planning
263,raphael seba,-1,True,institute of rural development planning
264,right irdp,-1,True,institute of rural development planning
265,rose kisarwa irdp,-1,True,institute of rural development planning
266,shabani magawila,-1,True,institute of rural development planning
267,shanafi irdp,-1,True,institute of rural development planning
268,tizrah irdp,-1,True,institute of rural development planning
269,bvloua,-1,True,institute of science and veterinary medicine
270,cherifa,-1,True,institute of science and veterinary medicine
271,mamady kourouma,-1,True,institute of science and veterinary medicine
272,marie224,-1,True,institute of science and veterinary medicine
273,mohamed lamine dabo,-1,True,institute of science and veterinary medicine
274,simmy,-1,True,institute of science and veterinary medicine
275,léontine,-1,True,institute of science and veterinary medicine
276,fatoumata binta,-1,True,institute of science and veterinary medicine
277,emma yomalo,-1,True,institute of science and veterinary medicine
278,laye almame sylla,-1,True,institute of science and veterinary medicine
279,christian saying,-1,True,institute of science and veterinary medicine
280,nar6,-1,True,institute of science and veterinary medicine
281,alseny,-1,True,institute of science and veterinary medicine
282,pkkbts,-1,True,institute of science and veterinary medicine
283,diallo  oury,-1,True,institute of science and veterinary medicine
284,kalebe koivogui,-1,True,institute of science and veterinary medicine
285,benjamin inapogui,-1,True,institute of science and veterinary medicine
286,samoura issa,-1,True,institute of science and veterinary medicine
287,kadiatou touré,-1,True,institute of science and veterinary medicine
288,timothée sandouno,-1,True,institute of science and veterinary medicine
289,bah dalanda,-1,True,institute of science and veterinary medicine
290,aye sira barry,-1,True,institute of science and veterinary medicine
291,kone karifa,-1,True,institute of science and veterinary medicine
292,lancei kaba,-1,True,institute of science and veterinary medicine
293,safiatoufaf,-1,True,institute of science and veterinary medicine
294,mariama soumah,-1,True,institute of science and veterinary medicine
295,samba magassouba,-1,True,institute of science and veterinary medicine
296,pascal bilivogui,-1,True,institute of science and veterinary medicine
297,erick otenyo,-1,True,jomo kenyatta university of agriculture and technology
298,adili mwabaya,-1,True,jomo kenyatta university of agriculture and technology
299,laura mugeha,-1,True,jomo kenyatta university of agriculture and technology
300,jamesmagige24,-1,True,kenyatta university
301,lukeodera,-1,True,kenyatta university
302,mosesthiongo,-1,True,kenyatta university
303,jacksonotuke,-1,True,kenyatta university
304,ruthkish,-1,True,kenyatta university
305,brainmich,-1,True,kenyatta university
306,ernest ruzindana,-1,True,kigali institute of science and technology
307,yesambahafi333,-1,True,kigali institute of science and technology
308,emmanuel uwiragijimana,-1,True,kigali institute of science and technology
309,fmwizerwa,-1,True,kigali institute of science and technology
310,danie blaze,-1,True,kumi university
311,joelodngo at mapping,-1,True,kumi university
312,robierx,-1,True,kumi university
313,david josh,-1,True,kumi university
314,opio,-1,True,kumi university
315,paul izrail,-1,True,kumi university
316,naboth,-1,True,kumi university
317,okiriajohnbaptist,-1,True,kumi university
318,kukufrancis,-1,True,kumi university
319,emmanueljamal,-1,True,kumi university
320,odeng youthmapper,-1,True,kumi university
321,engwau,-1,True,kumi university
322,nambuya mary,-1,True,kumi university
323,"everlast youth mappers,kumi",-1,True,kumi university
324,samuel okurut,-1,True,kumi university
325,eddie11,-1,True,makerere university
326,nakaweesi sarah,-1,True,makerere university
327,asaph opio,-1,True,makerere university
328,bensonk,-1,True,makerere university
329,amanubo amos,-1,True,makerere university
330,ojoroambrose,-1,True,makerere university
331,toristeeves,-1,True,mcgill university
332,gbates,-1,True,mcgill university
333,mma88,-1,True,mcgill university
334,josh2015,-1,True,mcgill university
335,elizstone,-1,True,mcgill university
336,julietterrichard,-1,True,mcgill university
337,hturvene,-1,True,mcgill university
338,pauline-r,-1,True,mcgill university
339,dorothy h,-1,True,mcgill university
340,margaux delalex,-1,True,mcgill university
341,hannah bursey,-1,True,mcgill university
342,rachel,-1,True,mcgill university
343,kirkwright,-1,True,mcgill university
344,noe_s,-1,True,mcgill university
345,julia_loach,-1,True,mcgill university
346,jancieplak,-1,True,mcgill university
347,kirasf97,-1,True,mcgill university
348,zripka,-1,True,mcgill university
349,colbybilodeau,-1,True,mcgill university
350,sichenw,-1,True,mcgill university
351,yuyuren,-1,True,mcgill university
352,taziona,-1,True,mcgill university
353,cfralich,-1,True,mcgill university
354,claudiagagnon,-1,True,mcgill university
355,snowpikachu,-1,True,mcgill university
356,zillahlee,-1,True,mcgill university
357,jackoecanten,-1,True,mcgill university
358,cliang17,-1,True,mcgill university
359,tassia,-1,True,mcgill university
360,jerped,-1,True,mcgill university
361,melissa_bland,-1,True,mcgill university
362,sydmuirhead,-1,True,mcgill university
363,aldea,-1,True,mcgill university
364,rachelyang,-1,True,mcgill university
365,joledan,-1,True,mcgill university
366,thompsc,-1,True,mcgill university
367,hrebenti,-1,True,mcgill university
368,ageographer,-1,True,mcgill university
369,bethsheba,-1,True,moi university
370,clare8,-1,True,moi university
371,seroney,-1,True,moi university
372,janepher,-1,True,moi university
373,bev120,-1,True,moi university
374,wambogo,-1,True,moi university
375,sharon,-1,True,moi university
376,sophiageomc,-1,True,montgomery college
377,timgeomc,-1,True,montgomery college
378,stephaniegeomc,-1,True,montgomery college
379,tim geomc,-1,True,montgomery college
380,janetgeomc,-1,True,montgomery college
381,susangeomc,-1,True,montgomery college
382,carolgeomc,-1,True,montgomery college
383,onejilo,-1,True,national institute of public administration
384,rl2793,-1,True,new york university
385,janellemicaela,-1,True,new york university
386,ggonzales36,-1,True,new york university
387,yd4nam,-1,True,new york university
388,ck2597,-1,True,new york university
389,mla424,-1,True,new york university
390,lorisganz,-1,True,politecnico di milano
391,hector chinas,-1,True,politecnico di milano
392,zakir ky,-1,True,politecnico di milano
393,aramis85,-1,True,politecnico di milano
394,hammouti,-1,True,politecnico di milano
395,will-will,-1,True,politecnico di milano
396,dilek emanetoğlu,-1,True,politecnico di milano
397,engiengi,-1,True,politecnico di milano
398,mattio93,-1,True,politecnico di milano
399,destone28,-1,True,politecnico di milano
400,fabiola banfi,-1,True,politecnico di milano
401,mostafizur,-1,True,rajshahi university of engineering & technology
402,faisal_147006,-1,True,rajshahi university of engineering & technology
403,shajibul haque,-1,True,rajshahi university of engineering & technology
404,yasmin tonni 1507014,-1,True,rajshahi university of engineering & technology
405,kawshar ahmed_1507023,-1,True,rajshahi university of engineering & technology
406,md rashed_1507022,-1,True,rajshahi university of engineering & technology
407,imranahsan_1507025,-1,True,rajshahi university of engineering & technology
408,wahidur rahman orthi 14701,-1,True,rajshahi university of engineering & technology
409,juhaer_1607007,-1,True,rajshahi university of engineering & technology
410,md. asif islam 1507012,-1,True,rajshahi university of engineering & technology
411,"farzana_afroz, shuvo_1607022",-1,True,rajshahi university of engineering & technology
412,arief_hossain_147007,-1,True,rajshahi university of engineering & technology
413,sabiha 147026,-1,True,rajshahi university of engineering & technology
414,mostakim,-1,True,rajshahi university of engineering & technology
415,md abdullahel shamim,-1,True,rajshahi university of engineering & technology
416,sanjida khanam,-1,True,rajshahi university of engineering & technology
417,kafy_12,-1,True,rajshahi university of engineering & technology
418,iftekhar alam,-1,True,rajshahi university of engineering & technology
419,dulal sarker,-1,True,rajshahi university of engineering & technology
420,hojaifa hossain,-1,True,rajshahi university of engineering & technology
421,sabrin zerin,-1,True,rajshahi university of engineering & technology
422,tanmoy dev,-1,True,rajshahi university of engineering & technology
423,umma roman,-1,True,rajshahi university of engineering & technology
424,nahidul_islam,-1,True,rajshahi university of engineering & technology
425,md al amin jewel,-1,True,rajshahi university of engineering & technology
426,mesbahul snigdho,-1,True,rajshahi university of engineering & technology
427,md_ashik_ali_murad_1607002,-1,True,rajshahi university of engineering & technology
428,nishita chowdhury,-1,True,rajshahi university of engineering & technology
429,radwan rahman 1607001,-1,True,rajshahi university of engineering & technology
430,shakil ar salan,-1,True,rajshahi university of engineering & technology
431,sumaia_dola,-1,True,rajshahi university of engineering & technology
432,nashid rahman,-1,True,rajshahi university of engineering & technology
433,murshaha majid 1607004,-1,True,rajshahi university of engineering & technology
434,md. saadman reza chowdhury,-1,True,rajshahi university of engineering & technology
435,137013,-1,True,rajshahi university of engineering & technology
436,sharmin_15,-1,True,rajshahi university of engineering & technology
437,saifullah bin shiraj,-1,True,rajshahi university of engineering & technology
438,salman_reza,-1,True,rajshahi university of engineering & technology
439,jahid_hasan,-1,True,rajshahi university of engineering & technology
440,prince_noman,-1,True,rajshahi university of engineering & technology
441,alifuzzaman,-1,True,rajshahi university of engineering & technology
442,nazmul ahsan tonoy,-1,True,rajshahi university of engineering & technology
443,jennifer selim,-1,True,rajshahi university of engineering & technology
444,"mhs_004, asif_007",-1,True,rajshahi university of engineering & technology
445,nishat jui,-1,True,rajshahi university of engineering & technology
446,farhan antor,-1,True,rajshahi university of engineering & technology
447,sihab_20,-1,True,rajshahi university of engineering & technology
448,shahariar rahman emon,-1,True,rajshahi university of engineering & technology
449,shykat,-1,True,rajshahi university of engineering & technology
450,nazia farnaz,-1,True,rajshahi university of engineering & technology
451,hafizanazneen,-1,True,rajshahi university of engineering & technology
452,shahriyar_147017,-1,True,rajshahi university of engineering & technology
453,shuvo_137025,-1,True,rajshahi university of engineering & technology
454,mosharraf 1607012,-1,True,rajshahi university of engineering & technology
455,sanjida islam 1507001,-1,True,rajshahi university of engineering & technology
456,sazib,-1,True,rajshahi university of engineering & technology
457,sumita roy,-1,True,rajshahi university of engineering & technology
458,rafi_mahmud,-1,True,rajshahi university of engineering & technology
459,sonam lepcha,-1,True,sherubtse college - royal university of bhutan
460,kezang gaden,-1,True,sherubtse college - royal university of bhutan
461,yeshiosm,-1,True,sherubtse college - royal university of bhutan
462,katie layer,-1,True,state university of new york at fredonia
463,abimagu2011,-1,True,state university of new york at fredonia
464,amandara14,-1,True,state university of new york at fredonia
465,mars9646,-1,True,state university of new york at fredonia
466,katie mccabe,-1,True,state university of new york at fredonia
467,tessamoran3,-1,True,state university of new york at fredonia
468,davidmyers14,-1,True,state university of new york at fredonia
469,nadv4186,-1,True,state university of new york at fredonia
470,neuteaching,-1,True,state university of new york at fredonia
471,kassie001,-1,True,state university of new york at fredonia
472,emipearson,-1,True,state university of new york at fredonia
473,ashley pennington,-1,True,state university of new york at fredonia
474,organ penny,-1,True,state university of new york at fredonia
475,pern8001,-1,True,state university of new york at fredonia
476,laurenpixley,-1,True,state university of new york at fredonia
477,powe2221,-1,True,state university of new york at fredonia
478,sgprice,-1,True,state university of new york at fredonia
479,mlpusateri3,-1,True,state university of new york at fredonia
480,rado1859,-1,True,state university of new york at fredonia
481,krenn18,-1,True,state university of new york at fredonia
482,danielle romanini,-1,True,state university of new york at fredonia
483,eschaib88,-1,True,state university of new york at fredonia
484,janelle shaffer,-1,True,state university of new york at fredonia
485,katisherry,-1,True,state university of new york at fredonia
486,kristen stanek,-1,True,state university of new york at fredonia
487,estone@fredonia.edu,-1,True,state university of new york at fredonia
488,ther1354@fredonia.edu,-1,True,state university of new york at fredonia
489,jurda23,-1,True,state university of new york at fredonia
490,jwilkie,-1,True,state university of new york at fredonia
491,jillianwojtan,-1,True,state university of new york at fredonia
492,qbrooks26,-1,True,texas tech university
493,zach byars,-1,True,texas tech university
494,carlislemr,-1,True,texas tech university
495,keatonalan,-1,True,texas tech university
496,john_cook,-1,True,texas tech university
497,taylordonowho,-1,True,texas tech university
498,chantry,-1,True,texas tech university
499,hayden-g230,-1,True,texas tech university
500,julia kliene,-1,True,texas tech university
501,evan conard,-1,True,texas tech university
502,sagelaxton,-1,True,texas tech university
503,aicha coulibaly,-1,True,texas tech university
504,andrew_skipton,-1,True,texas tech university
505,austinpreiss,-1,True,texas tech university
506,jakewebb1993,-1,True,texas tech university
507,jcathell,-1,True,texas tech university
508,justin n middleton,-1,True,texas tech university
509,noah_m,-1,True,texas tech university
510,sheila100,-1,True,texas tech university
511,shresthapranesh,-1,True,texas tech university
512,shuhan,-1,True,texas tech university
513,stsai,-1,True,texas tech university
514,sumeetkuthari,-1,True,texas tech university
515,tanispyre,-1,True,texas tech university
516,tarins,-1,True,texas tech university
517,tatymshaw,-1,True,texas tech university
518,teron webb,-1,True,texas tech university
519,tmasek,-1,True,texas tech university
520,trungpham,-1,True,texas tech university
521,victoria jordan,-1,True,texas tech university
522,xulimeimei,-1,True,texas tech university
523,yoamaya14,-1,True,texas tech university
524,zack bates,-1,True,texas tech university
525,rhodis,-1,True,the george washington university
526,bexsil,-1,True,the george washington university
527,miftisam,-1,True,the george washington university
528,bennydr,-1,True,the george washington university
529,mutete 110,-1,True,the university of zambia
530,castoms katongo,-1,True,the university of zambia
531,zelipa,-1,True,the university of zambia
532,lizzie  nabende,-1,True,the university of zambia
533,mfula,-1,True,the university of zambia
534,temwani mizinga,-1,True,the university of zambia
535,temwani,-1,True,the university of zambia
536,vaston 02,-1,True,the university of zambia
537,eglina,-1,True,the university of zambia
538,bernard05,-1,True,the university of zambia
539,hildah,-1,True,the university of zambia
540,ilunga natasha,-1,True,the university of zambia
541,patience kay,-1,True,the university of zambia
542,john thompson banda,-1,True,the university of zambia
543,sibonike,-1,True,the university of zambia
544,kamwanya james,-1,True,the university of zambia
545,ellah  n  jere,-1,True,the university of zambia
546,new direction,-1,True,the university of zambia
547,pbrogan,-1,True,the university of zambia
548,natasha b,-1,True,the university of zambia
549,ulendotaizya,-1,True,the university of zambia
550,mushashu,-1,True,the university of zambia
551,chiwila logical,-1,True,the university of zambia
552,benn,-1,True,the university of zambia
553,el almar,-1,True,the university of zambia
554,bruce kalibo,-1,True,the university of zambia
555,emmanuel jr,-1,True,the university of zambia
556,chilufya derrick,-1,True,the university of zambia
557,ruthchilandomusokolenitembo,-1,True,the university of zambia
558,hellen dailofa,-1,True,the university of zambia
559,christabell,-1,True,the university of zambia
560,choolweluwamwa,-1,True,the university of zambia
561,sjoshi_achiever,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
562,wrc std daman,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
563,rabin ojha,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
564,pratixa,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
565,nishaadhikari,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
566,shree krishna adhikari,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
567,akashok,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
568,ujjwal poudel,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
569,kapil dev,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
570,ashokintern,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
571,kavreliashok,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
572,aesome sandy,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
573,shiva krishna chaudhary,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
574,mira neupane,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
575,mamata koirala,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
576,roger anish,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
577,ashmeera dahal,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
578,bimala chhetri,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
579,hillson,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
580,madan thapa j,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
581,surya adhikari,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
582,ppaudyal4,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
583,sagar karki,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
584,dreamershristi,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
585,kabiraj rokaya,-1,True,tribhuvan university - institute of engineering - pashchimanchal campus
